neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.5,64,2,0.00000001,0.6,0.2,3443.2,10105.6,10048,6873.6,17081.6,16588.8,10690.134,4096.7114
0.5,64,4,0.00000001,0.6,0.2,3443.2,10105.6,10048,6873.6,17081.6,16588.8,10690.134,4096.7114
0.5,64,6,0.00000001,0.6,0.2,3443.2,10105.6,10048,6873.6,17081.6,16588.8,10690.134,4096.7114
0.5,64,8,0.00000001,0.6,0.2,3443.2,10105.6,10048,6873.6,17081.6,16588.8,10690.134,4096.7114
0.5,64,2,0.00000001,0.8,0.2,4057.6,10873.6,10720,6956.8,16806.4,16755.2,11028.266,3835.0217
0.5,64,4,0.00000001,0.8,0.2,4057.6,10873.6,10720,6956.8,16806.4,16755.2,11028.266,3835.0217
0.5,64,6,0.00000001,0.8,0.2,4057.6,10873.6,10720,6956.8,16806.4,16755.2,11028.266,3835.0217
0.5,64,8,0.00000001,0.8,0.2,4057.6,10873.6,10720,6956.8,16806.4,16755.2,11028.266,3835.0217
0.5,64,2,0.00000001,0.4,0.2,3961.6,11001.6,10873.6,7084.8,18208,17881.6,11501.866,4361.9556
0.5,64,4,0.00000001,0.4,0.2,3961.6,11001.6,10873.6,7084.8,18208,17881.6,11501.866,4361.9556
0.5,64,6,0.00000001,0.4,0.2,3961.6,11001.6,10873.6,7084.8,18208,17881.6,11501.866,4361.9556
0.5,64,8,0.00000001,0.4,0.2,3961.6,11001.6,10873.6,7084.8,18208,17881.6,11501.866,4361.9556
0.5,64,2,0.00000001,0.2,0.2,4102.4,12499.2,12723.2,7968,20460.8,20486.4,13040,4955.7334
0.5,64,4,0.00000001,0.2,0.2,4102.4,12499.2,12723.2,7968,20460.8,20486.4,13040,4955.7334
0.5,64,6,0.00000001,0.2,0.2,4102.4,12499.2,12723.2,7968,20460.8,20486.4,13040,4955.7334
0.5,64,8,0.00000001,0.2,0.2,4102.4,12499.2,12723.2,7968,20460.8,20486.4,13040,4955.7334
0.75,64,2,0.00000001,0.8,0.2,4768,12985.6,12934.4,9120,19936,20064,13301.333,4465.778
0.75,64,4,0.00000001,0.8,0.2,4768,12985.6,12934.4,9120,19936,20064,13301.333,4465.778
0.75,64,6,0.00000001,0.8,0.2,4768,12985.6,12934.4,9120,19936,20064,13301.333,4465.778
0.75,64,8,0.00000001,0.8,0.2,4768,12985.6,12934.4,9120,19936,20064,13301.333,4465.778
0.75,64,2,0.00000001,0.6,0.2,5440,13548.8,13568,10361.6,20883.2,20640,14073.599,4458.666
0.75,64,4,0.00000001,0.6,0.2,5440,13548.8,13568,10361.6,20883.2,20640,14073.599,4458.666
0.75,64,6,0.00000001,0.6,0.2,5440,13548.8,13568,10361.6,20883.2,20640,14073.599,4458.666
0.75,64,8,0.00000001,0.6,0.2,5440,13548.8,13568,10361.6,20883.2,20640,14073.599,4458.666
0.75,64,2,0.00000001,0.4,0.2,5849.6,15507.2,15513.6,11168,22099.2,22028.8,15361.065,4568.1777
0.75,64,4,0.00000001,0.4,0.2,5849.6,15507.2,15513.6,11168,22099.2,22028.8,15361.065,4568.1777
0.75,64,6,0.00000001,0.4,0.2,5849.6,15507.2,15513.6,11168,22099.2,22028.8,15361.065,4568.1777
0.75,64,8,0.00000001,0.4,0.2,5849.6,15507.2,15513.6,11168,22099.2,22028.8,15361.065,4568.1777
1,64,2,0.00000001,0.8,0.2,6240,15833.6,15788.8,12089.6,22726.4,22752,15905.066,4556.0894
1,64,4,0.00000001,0.8,0.2,6240,15833.6,15788.8,12089.6,22726.4,22752,15905.066,4556.0894
1,64,6,0.00000001,0.8,0.2,6240,15833.6,15788.8,12089.6,22726.4,22752,15905.066,4556.0894
1,64,8,0.00000001,0.8,0.2,6240,15833.6,15788.8,12089.6,22726.4,22752,15905.066,4556.0894
1.125,64,2,0.00000001,0.8,0.2,7065.6,17164.8,17062.4,13145.6,23936,24019.2,17065.6,4641.067
1.125,64,4,0.00000001,0.8,0.2,7065.6,17164.8,17062.4,13145.6,23936,24019.2,17065.6,4641.067
1.125,64,6,0.00000001,0.8,0.2,7065.6,17164.8,17062.4,13145.6,23936,24019.2,17065.6,4641.067
1.125,64,8,0.00000001,0.8,0.2,7065.6,17164.8,17062.4,13145.6,23936,24019.2,17065.6,4641.067
1,64,2,0.00000001,0.6,0.2,7859.2,17248,17036.8,14188.8,23782.4,23654.4,17294.934,4282.311
1,64,4,0.00000001,0.6,0.2,7859.2,17248,17036.8,14188.8,23782.4,23654.4,17294.934,4282.311
1,64,6,0.00000001,0.6,0.2,7859.2,17248,17036.8,14188.8,23782.4,23654.4,17294.934,4282.311
