neighbour_multiplier,popsize,restart_decay_power,restart_tolerance,self_instead_neighbour,sigma,different_powers,discus,ellipsoid,rosenbrock,shifted_sphere,sphere,mean,mad
0.5,64,2,0.00000001,0.8,0.2,8108.8,16902.4,16870.4,12832,24403.2,24192,17218.133,4719.644
0.5,64,4,0.00000001,0.8,0.2,8108.8,16902.4,16870.4,12832,24403.2,24192,17218.133,4719.644
0.5,64,6,0.00000001,0.8,0.2,8108.8,16902.4,16870.4,12832,24403.2,24192,17218.133,4719.644
0.5,64,8,0.00000001,0.8,0.2,8108.8,16902.4,16870.4,12832,24403.2,24192,17218.133,4719.644
0.5,64,2,0.00000001,0.6,0.2,8793.6,16659.2,16627.2,13376,24172.8,23769.6,17233.066,4492.0894
0.5,64,4,0.00000001,0.6,0.2,8793.6,16659.2,16627.2,13376,24172.8,23769.6,17233.066,4492.0894
0.5,64,6,0.00000001,0.6,0.2,8793.6,16659.2,16627.2,13376,24172.8,23769.6,17233.066,4492.0894
0.5,64,8,0.00000001,0.6,0.2,8793.6,16659.2,16627.2,13376,24172.8,23769.6,17233.066,4492.0894
0.5,64,2,0.00000001,0.4,0.2,9056,17670.4,17657.6,14124.8,25331.2,25017.6,18142.934,4687.644
0.5,64,4,0.00000001,0.4,0.2,9056,17670.4,17657.6,14124.8,25331.2,25017.6,18142.934,4687.644
0.5,64,6,0.00000001,0.4,0.2,9056,17670.4,17657.6,14124.8,25331.2,25017.6,18142.934,4687.644
0.5,64,8,0.00000001,0.4,0.2,9056,17670.4,17657.6,14124.8,25331.2,25017.6,18142.934,4687.644
0.75,64,2,0.00000001,0.8,0.2,10758.4,19993.6,19859.2,16518.4,27488,27270.4,20314.666,4709.689
0.75,64,4,0.00000001,0.8,0.2,10758.4,19993.6,19859.2,16518.4,27488,27270.4,20314.666,4709.689
0.75,64,6,0.00000001,0.8,0.2,10758.4,19993.6,19859.2,16518.4,27488,27270.4,20314.666,4709.689
0.75,64,8,0.00000001,0.8,0.2,10758.4,19993.6,19859.2,16518.4,27488,27270.4,20314.666,4709.689
0.75,64,2,0.00000001,0.6,0.2,13305.6,20652.8,20588.8,18028.8,27436.8,27097.6,21185.066,4054.7551
0.75,64,4,0.00000001,0.6,0.2,13305.6,20652.8,20588.8,18028.8,27436.8,27097.6,21185.066,4054.7551
0.75,64,6,0.00000001,0.6,0.2,13305.6,20652.8,20588.8,18028.8,27436.8,27097.6,21185.066,4054.7551
0.75,64,8,0.00000001,0.6,0.2,13305.6,20652.8,20588.8,18028.8,27436.8,27097.6,21185.066,4054.7551
0.75,64,2,0.00000001,0.4,0.2,14592,22016,22220.8,18694.4,28569.6,28665.6,22459.734,4105.2446
0.75,64,4,0.00000001,0.4,0.2,14592,22016,22220.8,18694.4,28569.6,28665.6,22459.734,4105.2446
0.75,64,6,0.00000001,0.4,0.2,14592,22016,22220.8,18694.4,28569.6,28665.6,22459.734,4105.2446
0.75,64,8,0.00000001,0.4,0.2,14592,22016,22220.8,18694.4,28569.6,28665.6,22459.734,4105.2446
1,64,2,0.00000001,0.8,0.2,14067.2,22720,22592,19526.4,29753.6,29561.6,23036.799,4413.8657
1,64,4,0.00000001,0.8,0.2,14067.2,22720,22592,19526.4,29753.6,29561.6,23036.799,4413.8657
1,64,6,0.00000001,0.8,0.2,14067.2,22720,22592,19526.4,29753.6,29561.6,23036.799,4413.8657
1,64,8,0.00000001,0.8,0.2,14067.2,22720,22592,19526.4,29753.6,29561.6,23036.799,4413.8657
1,64,2,0.00000001,0.6,0.2,17523.2,23539.2,23641.6,21235.2,29638.4,29536,24185.6,3601.0671
1,64,4,0.00000001,0.6,0.2,17523.2,23539.2,23641.6,21235.2,29638.4,29536,24185.6,3601.0671
1,64,6,0.00000001,0.6,0.2,17523.2,23539.2,23641.6,21235.2,29638.4,29536,24185.6,3601.0671
1,64,8,0.00000001,0.6,0.2,17523.2,23539.2,23641.6,21235.2,29638.4,29536,24185.6,3601.0671
1.125,64,2,0.00000001,0.8,0.2,15987.2,23840,24057.6,21433.6,30726.4,30700.8,24457.6,4170.667
1.125,64,4,0.00000001,0.8,0.2,15987.2,23840,24057.6,21433.6,30726.4,30700.8,24457.6,4170.667
1.125,64,6,0.00000001,0.8,0.2,15987.2,23840,24057.6,21433.6,30726.4,30700.8,24457.6,4170.667
1.125,64,8,0.00000001,0.8,0.2,15987.2,23840,24057.6,21433.6,30726.4,30700.8,24457.6,4170.667
1.125,64,2,0.00000001,0.6,0.2,18374.4,24588.8,24704,22476.8,30432,30380.8,25159.467,3497.9553
1.125,64,4,0.00000001,0.6,0.2,18374.4,24588.8,24704,22476.8,30432,30380.8,25159.467,3497.9553
1.125,64,6,0.00000001,0.6,0.2,18374.4,24588.8,24704,22476.8,30432,30380.8,25159.467,3497.9553
1.125,64,8,0.00000001,0.6,0.2,18374.4,24588.8,24704,22476.8,30432,30380.8,25159.467,3497.9553
1,64,2,0.00000001,0.4,0.2,18662.4,25081.6,24768,21964.8,30752,30668.8,25316.266,3596.0886
1,64,4,0.00000001,0.4,0.2,18662.4,25081.6,24768,21964.8,30752,30668.8,25316.266,3596.0886
1,64,6,0.00000001,0.4,0.2,18662.4,25081.6,24768,21964.8,30752,30668.8,25316.266,3596.0886
1,64,8,0.00000001,0.4,0.2,18662.4,25081.6,24768,21964.8,30752,30668.8,25316.266,3596.0886
1.125,64,2,0.00000001,0.4,0.2,20537.6,26041.6,26003.2,23283.2,31539.2,31744,26524.799,3411.2
1.125,64,4,0.00000001,0.4,0.2,20537.6,26041.6,26003.2,23283.2,31539.2,31744,26524.799,3411.2
1.125,64,6,0.00000001,0.4,0.2,20537.6,26041.6,26003.2,23283.2,31539.2,31744,26524.799,3411.2
1.125,64,8,0.00000001,0.4,0.2,20537.6,26041.6,26003.2,23283.2,31539.2,31744,26524.799,3411.2
1.5,64,2,0.00000001,0.8,0.2,19622.4,26848,26828.8,24172.8,32870.4,32902.4,27207.467,3785.9548
1.5,64,4,0.00000001,0.8,0.2,19622.4,26848,26828.8,24172.8,32870.4,32902.4,27207.467,3785.9548
1.5,64,6,0.00000001,0.8,0.2,19622.4,26848,26828.8,24172.8,32870.4,32902.4,27207.467,3785.9548
1.5,64,8,0.00000001,0.8,0.2,19622.4,26848,26828.8,24172.8,32870.4,32902.4,27207.467,3785.9548
1.5,64,2,0.00000001,0.6,0.2,22297.6,27468.8,27270.4,25030.4,32358.4,32608,27838.932,3096.177
1.5,64,4,0.00000001,0.6,0.2,22297.6,27468.8,27270.4,25030.4,32358.4,32608,27838.932,3096.177
1.5,64,6,0.00000001,0.6,0.2,22297.6,27468.8,27270.4,25030.4,32358.4,32608,27838.932,3096.177
1.5,64,8,0.00000001,0.6,0.2,22297.6,27468.8,27270.4,25030.4,32358.4,32608,27838.932,3096.177
1.5,64,2,0.00000001,0.4,0.2,22956.8,28486.4,28345.6,25523.2,33542.4,33811.2,28777.602,3266.1335
1.5,64,4,0.00000001,0.4,0.2,22956.8,28486.4,28345.6,25523.2,33542.4,33811.2,28777.602,3266.1335
1.5,64,6,0.00000001,0.4,0.2,22956.8,28486.4,28345.6,25523.2,33542.4,33811.2,28777.602,3266.1335
1.5,64,8,0.00000001,0.4,0.2,22956.8,28486.4,28345.6,25523.2,33542.4,33811.2,28777.602,3266.1335
0.5,64,2,0.00000001,0.8,0.4,21267.2,29369.6,29145.6,26636.8,35507.2,35411.2,29556.268,3935.289
0.5,64,4,0.00000001,0.8,0.4,21267.2,29369.6,29145.6,26636.8,35507.2,35411.2,29556.268,3935.289
0.5,64,6,0.00000001,0.8,0.4,21267.2,29369.6,29145.6,26636.8,35507.2,35411.2,29556.268,3935.289
0.5,64,8,0.00000001,0.8,0.4,21267.2,29369.6,29145.6,26636.8,35507.2,35411.2,29556.268,3935.289
0.5,64,2,0.00000001,0.6,0.4,24768,30035.2,29907.2,27404.8,35174.4,35232,30420.266,3188.6218
